tweets,label
@janie_crawford ha...yes ma'am...been branding myself for a while...thanks much..im honored u appreciate ,0
I really miss XYZ since 2016 i have Post anime depression and its the most longest pads i ever have. :< #depression #mental health #sicknotweak ,1
boys before flowers is AWESOME. specially so yijung and cha gaeul's story. try to watch it. it's great. ,0
RT: #BipolarHotline: National #Suicide Hotline: 1-800-273-8255 (#Logic Live: #MTV VMAs / 2017) #mentalhealth #depression #bipolarbrave,1
Only 2 days of sophmore year left! thank godd &lt;3  txt mehhh im boredd ,0
There's #noshame in talking about other illnesses. Why should there be with #depression? #notalone #KeepTalkingMH #stigma #sicknotweak #life @Fox6TedPerry https://soundcloud.com/givingvoicetodepression/off-the-sidelines-ripple-report-four-ted-perryÂ â¦ pic.twitter.com/6SNTLJ17m4,1
ok so like... how am i supposed to tell my mom i have depression without her crying and getting mad,1
Searching for Susan Boyle on Microsoft's Bing during the Twilight of a New Moon listening to Eminem on the radio hey Google Wave ,0
"@PressSec @FoxNews @EricFolmer When Obama came into office there was 2 wars,Wall St,Housing market & car companies were in trouble.He stopped us from having a great depression & lowered deficit. Terrorist were around b4 Obama. Dems raised deficit 2 pay 2 wars George started GOP raised it 2 give rich tax cuts",1
Good morning my twitter friends... Time for work unemployed after a long vacation... ,0
this movie just worsened my depression tbh :) i wanna die :)  pic.twitter.com/fygUwhvYNh,1
I need a job!! I hate being unemployed #unemployed #corona #jobs #lockdown #crisis,1
"@BananaAnna2008 @mikequad I TOTALLY AGREE WITH YOU, ANNA!! ",0
It's hard for someone who has depression to admit they have depression because stayhomeity of these people doesn't really have the reason to have depression and that's actually what makes what their feeling worse.,1
I understand  You just gotta work on it! haha. chew gum when you feel like smoking. My dad was a big smoker so I kisolation quarantine these things. lol.,0
"i want to be able to take a break from the internet to help my depression, but i can't. i'm already addicted to it like a drug, and a lot of my school stuff depends on it. i can't run away.",1
I need a job!! RT if you unemployed #corona #unemployed #recruit #jobs,1
"@christiinn aweee baby mamma, i hope tomorrow is better for you ",0
@bigben91190 oh gosh how i love boybands!! does jason have a myspace?? i got aj and chris and todd and of course you ,0
@devilishdelish enjoy B  ,0
"@cr8en I'm psyched.  It's not a funny interview, but great content.  Gives u a  glimpse into a rags to riches to rags to I'm okay story ",0
@sammoran sounds like it was a good day ,0
Did you kisolation quarantine that 4-10%Â of people in England will experience depression in their lifetime? #Talkfest #ItsOkToTalk #ThursdayThoughts  http://socsi.in/32qe1Â ,1
I have severe depression,1
"Mom's depression tied to kids' emotional, intellectual development  https://ift.tt/2HtVZCEÂ ",1
Baking a cake while my baby sleeps.  Tomorrow is going to be awesomesauce!,0
"So u spend ur whole life thinking & dealing with things the way u deem right then at 33 realise no,that's not how things r done.That's not how you should be living your life. t's so hard to try and snap out of that mindframe. #depression #anxiety #coping #mentalhealthmatters",1
"@AsteriaArgent Its good to hear ^^. Sometimes i kinda worried since seems half of my mutual have stress, depression and anxiety. Please don't hesitate again to shitpost if you feel bad again, i believe there ppl care for you :)",1
Walking down these cold Wellington streets in his new jacket. So stayhome! ,0
"What's underneath the latest jobs report ""In Sept, market conditions caused 45,213 of the announced cuts, 33,713 #jobcuts due to demand downturn, & 11,562 cuts due to restructuring,"" Challenger, Gray & Christmas reported #unemploymendt #unemployed #jobseekers #economy",1
anyone else in the class of 2020 suffering from crippling anxiety right isolation quarantine? #lockdown #shotdown #pandemic #anxiety #crisis #2020,1
"The Poken are clearly conspiring unemployedst me  Hey, I'm the official evangelist along with Andrew, so I had to... re: http://ff.im/2YXeP",0
"Members have been postering across #Dundee #COVID__19 #BlackLivesMatter #studentlockdown Contact us to join our campaigns unemployedst #austerity, mass #unemployement and #racism! ",1
"@canzgirl ok, we can sort that out! See ya in an hour ",0
"Mom's depression tied to kids' emotional, intellectual development  http://dlvr.it/QQmx4YÂ  pic.twitter.com/1Bq2PAvWAG",1
i swept my room for the first time since like...... november? anyway i love depression,1
@shanitai life is crap! so out emo-ed youuu ,0
@CharlotteLilly @goodlifegrspc @props4WAH @RavenSu @andykarelas @knittingnews @SusanCosmos thanks for the retweet ,0
"(Reuters Health) - A mother's depression is linked with her children's development from infancy through adolescence, according to a new study. Researchers studied 875 middle- or...  http://global-news-views.news/moms-depression-tied-to-kids-emotional-intellectual-development/Â â¦",1
@Misskeribaby keri...whats ya next single gonna be? i anxious to find out ,0
is excited about getting her new camera ,0
@CoffeeDaze your in luck its the weekend no construction ,0
@gaycyclops because I was thinking of joining you for a marathon sometime this summer... School's out in 13 days!!! ,0
Actually woke up at a decent hour and went walking with jessica ,0
