tweets,labels
"Check out 'Cinema Bizarre - Melbourne, VIC' at Eventful.com - http://is.gd/Q6Ix ",0
goodnight  &amp; this one is final.,0
What a lovely Saturday morning! I love winter ,0
More than 1 in 20 US children and teens have anxiety or depression  https://goo.gl/EN46R5Â ,1
@mannykimchi technically first college year....cause im a sophomore ,0
@ksprior post something moron ,0
"the end of 2014 - 2016 , was my worst yrs <Emoji: Face with tears of joy> i was really in a depression",1
@GentlemanJervis Small question. Are you already getting medical help for depression (Because i did the same today) ?,1
just voted  GREEN party!  just hope it's enough to keep the EVIL bnp out! ,0
@okto the brides mom was so cute. She asked me how much all the film would cost to shoot the whole wedding ,0
"you can cure bipolar depression by eating fruits, going to the gym, and discovering what YOU'RE doing wrong â a dumbass w a no-name online degree in holistic medicine",1
Making a present! ,0
@PunishedBox No. I went straight to depression.,1
@fanxyncity his feet look like they have depression,1
"@amarita77 goodmorning, that is good to hear  did you cut out the red bull before bed? Lol",0
@MichaelTyler  in most ways at least    at this rate though i may even bake something tonight!  who knows?!?,0
I am Lowkey going through depression that I'm fighting HARD to overcome,1
getting ready early.. ready for some hardcore mafia tonight.  ,0
robot chicken marathon? lets see how far I go till I fall asleep. had a fun time earlier today ,0
"@aJackieLarsen @Nemosanartist @highwatermark_ Not everyone has the capacity to immediately understand all material taught to them.  Everyone has their strengths and weaknesses, and the stress from dealing with something that a person isn't generally good with can be overwhelming.  Also, depression sucks and causes crying.",1
@newscientist @BaddieDaywin @schmids333 @Capt_depression Not really. Actually poor ad hominem to try and discredit one's stance because they share thoughts and opinions outside of their realms.,1
"Wow, fell in love with Sly Cooper and Ratchet. Well, I know what I'm buying on PS3 now ",0
@holton29 I know   Now fix my iphone lol,0
this shit is a good depression killer  pic.twitter.com/ztfNNFMJ3k,1
"sometimes i don't fit in with my friends and im always at the verge of giving up but you guys gave me strength and persistence to fight the depression and the anxiety i have, im so proud of you guys right now i love you<Emoji: Heavy red heart>@Stray_Kids #StrayQuiz #StrayKids pic.twitter.com/YnzCr2rgUv",1
@frumousme yeah there are so many of us angry feeters  Tim's THAT good lol... I have been good I go on I  just havent posted for a while,0
"A big part of depression is feeling really lonely, even if you're in a room full of a million people",1
@lilapp lol.. thanks.  I wasn't trying to steal the show!,0
Pre-ordered Karnivool's new album today. Getting it on Friday!!  ,0
"@LJsBaby Will be  It happens, just get on with it. Coffee &amp; cornflakes will help ",0
Time for bed nighty night hope u guys have sweeet dreams &lt;3 ,0
@xJPUx<Emoji: Sunflower> : intimidating but madaldal <Emoji: Cat face with tears of joy><Emoji: Yellow heart> : 7? mga ganon <Emoji: Rolling on the floor laughing><Emoji: Honey pot> : don't let depression get into u and always look at the brighter side of life <Emoji: Smiling face with smiling eyes> stay strong with eya <Emoji: Two hearts> tca and gbu <Emoji: Call me hand (medium light skin tone)>,1
@SURFislikeaBoss me hair ain't Red its da light its blonde and black!  @jamesissexy Hey Hotty!  @firesty who da other girl?,0
"A fat ass won't help u keep a man. Get ahead in ur career, unless ur a stripper. It won't help ur depression, save ur friendships. Chile.",1
Don't forget to check out our courses for May! To book email training@commlinks.co.uk #mentalhealth #socialcare #suicideprevention #mhfa #safetalk #mentalhealthawarenessweek #mhaw #stress #anxiety #depression  pic.twitter.com/pmme1xfThq,1
@jasongardiner love you  soon?!?,0
"Just one puff of this type of cannabis 'could ease depression, stress and anxiety'  https://www.thesun.co.uk/news/6137739/cannabis-ease-depression-stress-anxiety/Â â¦",1
@Clouds2287 Hm. So I take it the essays are not going so well right now? Perhaps a swap? I have nothing left to lose lol ,0
Such a perfect time for depression,1
@anderrrson thinking of me RIGHT ?  lol,0
@mrolv bye! talk 2 u soon!  x,0
"depression: i'm always here for u, darling",1
I think it's time to kill some Zombies... ,0
hey guess what my pills lower my sex drive so much and i hate it and i want to stop taking them but i can't because my depression is still up and kicking sigh someone make me horny pls it takes so much energy,1
@therealTiffany check it out epi. haha it makes me smile everytime! you need to make me a check it out video one day! i loveee it ,0
tonight: crime and comedy at Warsaw - &quot;Lekarstwo na miÅ‚oÅ›Ä‡&quot; - 6 pm. - film based on the novel of Joanna Chmielewska. see you ,0
"@drlfarrell #irishmed T1 Early intervention. Also, GP aware of impact of physical health on psychological well being aside from discrete MH difficulties ie anxiety/depression.",1
got a birthday card in the post today...belated wishes keep the months merry ,0
"@JoyceAnnWert it may be effective for some things,"" but I'm moreso referring to the people who go on about """"don't take medications!!! just have positive vibes and your depression will go away :)<Emoji: Cherry blossom><Emoji: Cherry blossom><Emoji: Cherry blossom>""""",1
[New Blog Post] This past week I was invited to speak to a group about tools we can use to cope with #depression. Here's one of the strategies I shared!  https://www.charlesminguez.com/tiny-habits/Â  #mentalhealth #toolkit #tinyhabits #recovery,1
@MelissaCruz I do what I can...Works for my headaches ,0
Enjoying the aroma of fresh cut grass.... and a beer   need to go buy The Shack,0
"@bbywoIfie I'm going out on a limb here, but it might have something to do with the heroin addiction/chronic depression?",1
"Don't settle with #depression, #anxiety or defeat. #Jesus wants you to overcome. #faith #Prayer #bible #kalamazoo http://www.vwcenter.org/fervent-prayer.htmlÂ â¦",1
depression.,1
@MamaSeal haha...I needed the mani!! ,0
Going to the zoo with the wineholt clan! ,0
1 in 4 SA workers suffers from depression https://www.health24.com/Medical/Depression/About-depression/1-in-4-sa-workers-suffers-from-depression-20180425Â â¦?shared via @Health24com,1
The reason's why I use TweetLater...  http://bit.ly/uJD5u,0
Depression and obsession doesn't mix well,1
Looking For Furniture With James  xx,0
Be sure to check out our #podcast this Saturday at 11:00 am EST. We are replaying our show that featured the lovely and talented @erezshek http://blogtalkradio.com/leftofstr8Â @powerslave1974#KeepTalkingMH #mentalillness #mentalhealth #depression #suicideprevention #advocate pic.twitter.com/7BniJlWGga,1
@MaryBeverly  send some sun this way plz    .. nyc calls for lotsa rain,0
Post-show depression for The Addams Family has been weird and sporadic and my weak heart can't take it so here's some pictures from the show again  pic.twitter.com/SXdIoWjzUP,1
Online Cognitive-Behavioral Therapy for Anxiety and Depression. Mindfulness Therapy via Skype. Most people see big improvements within 3-4 weeks. Contact me to learn more and to schedule a Skype therapy session.  https://ift.tt/2Ke1ItXÂ ,1
"@hunterrgarrett @WRXNickA This is why I hate the belief that anxiety or depression push people to create better content.. Obvi the stuff you make is going to reflect your feelings & expiriences, but if anything mental demons make you doubt every little detail of your work.. Support your homies <Emoji: Purple heart>",1
@dinajames That you are a good pussy cat ,0
Les longs week-ends font les petites semaines. ,0
@martiiux  Hola! Wellcomeback! ,0
i been battling a deep ass round of depression in the last week. havent even been on twitter to watch kanye lose what little credibility he had left.,1
 https://www.google.com/search?client=ms-android-verizon&ei=BifgWp6oOpPcjwOXh42ADg&q=federal+reserve+caused+great+depression+&oq=federal+reserve+caused+great+depression+&gs_l=mobile-gws-serp.12..0i22i30j33i22i29i30l4.52384.71845..72636...0....307.6337.0j36j4j1..........1..mobile-gws-wiz-serp.....0..0j41j0i131j0i67j0i131i67j33i160.Rg7sxg%2F8GNA%3DÂ â¦The Federal Reserve'sÂ Tight Monetary PolicyÂ Caused the Great Depression.Â Federal ReserveÂ Chairman Ben Bernanke andÂ theÂ late Nobel Prize-winning economist Milton Friedman blameÂ the Federal ReserveÂ forthe Great Depression. But they do so forÂ theÂ wrong,1
@delamarRX931  i had fun listening to your morning rush earlier... .. remember the &quot;anus of a chicken&quot; ????? lol ,0
@thewildjoker Alright. Following. Just hope she follows back ,0
ok but when's summer coming like this off and on snow & rain is making my seasonal depression stay longer than it should have.,1
@lesliedoughty The dates are Sept. 24-27 and I will open registration very soon. I just need to finalize contract with the host hotel. ,0
@Ruth4ashab @TasnimaKTastic Hmm...yes that's true as well...She should just stop referring to depression each time she does a speech... everyone goes through it...<Emoji: Face with tears of joy>,1
"I dreamt of the stars last night.  Just looking up in awe at the vastness of it all. As I headed up in wonder,  the stars were covered by clouds.  Such small things (clouds) obscuring the universe from view.  Reminds me of hope depression works.1/2",1
